plate,mjd,ra,dec,ObjID,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,fiberID,z
1250,52930,65.9692171374827,27.0810024430888,1237660750871789626,18.90221,17.06019,16.08033,15.58316,15.28567,554,1.590094
1250,52930,66.5098358258194,26.8768404949097,1237660552765112515,19.00137,17.08818,15.98701,15.41821,15.04965,629,1.589694
1250,52930,64.0646803865839,27.6541192104494,1237660753019535578,20.07363,18.51289,17.77027,17.40032,17.18319,345,1.586734
1250,52930,66.1544274889981,27.0007052415351,1237660553302049177,19.4135,17.6224,16.71022,16.2505,15.98449,591,1.589022
1250,52930,66.0515842638234,26.9821836525231,1237660553302049134,19.48371,17.50898,16.47681,15.95927,15.67726,560,1.589133
1250,52930,66.0044452258148,27.0436545577704,1237660750871789605,19.39491,17.58854,16.67561,16.22028,15.93542,555,1.589144
1257,52944,72.7678501027531,25.2317650030369,1237660760000823354,18.82866,16.8471,15.79931,15.25953,14.89267,16,1.589379
1257,52944,70.9860297679706,25.7225572850867,1237660760536973718,19.45099,17.5342,16.53634,16.01303,15.66245,152,1.589837
1257,52944,71.0041873115726,25.6394796448957,1237660760536973401,18.90668,17.05035,16.06074,15.55171,15.23091,160,1.59035
1257,52944,70.7247543495247,25.6193665721113,1237660760536842441,19.71562,17.53373,16.17269,15.54248,15.07027,210,1.589947
4685,55657,167.918773705288,43.2196005981147,1237661850390299071,22.28961,21.01678,20.7592,20.39887,20.11987,133,1.594822
3368,54954,199.675368491722,42.7798473592314,1237661871334555664,19.37611,18.33121,17.70712,17.31198,17.29319,417,1.594874
2945,54505,117.634518803117,9.31603128754547,1237667536919068803,20.10764,18.56362,17.89344,17.6324,17.55529,306,1.591471
2596,54207,183.62980278624,18.4708587462383,1237668591333081300,21.6588,20.57678,19.63446,19.03669,18.86926,565,1.589703
2555,54265,311.346881525327,55.7890409992096,1237671938742618936,19.49594,17.76436,16.84409,16.41445,16.1573,201,1.588324
2555,54265,311.53682136498,55.8005941235785,1237671938742682262,18.83353,17.15263,16.29828,15.92056,15.68121,126,1.590053
2555,54265,312.248102956278,56.5603341917918,1237671939816358323,19.05648,17.05876,15.98302,15.45501,15.11544,171,1.589973
2555,54265,312.279904580108,56.5897392246758,1237671939816359623,19.41716,17.58163,16.58431,16.09033,15.81576,178,1.590311
2555,54265,312.458899684716,56.378251699445,1237671939816425640,19.11373,17.29699,16.34582,15.92036,15.64118,166,1.590039
2565,54329,313.170942416079,56.1424313832585,1237671939816623190,19.68133,17.75751,16.78519,16.33047,16.00956,144,1.589659
2555,54265,312.286041857526,56.9801613322362,1237671940353099853,19.34759,17.54113,16.56507,16.0826,15.77277,499,1.5893
2565,54329,313.420642502603,56.4999875262337,1237671940353491135,19.75421,18.05269,17.14575,16.71185,16.42996,160,1.589154
2555,54265,312.417345267083,57.5775981440108,1237671940889839484,19.53218,17.5261,16.46694,15.93993,15.61029,442,1.589873
2565,54329,311.447606102135,55.4331217221205,1237672024625644749,21.34077,19.47662,18.56779,18.13439,17.88667,210,1.587636
2565,54329,311.664824298739,55.5475698846784,1237672024625710929,20.79599,18.98826,18.13284,17.70436,17.45978,205,1.59232
2565,54329,311.622016735524,55.8868634240987,1237672025162451331,21.6943,19.98791,19.01268,18.52568,18.18594,208,1.58972
2555,54265,312.527060355397,56.1671704615041,1237672025699451672,19.41025,17.32753,16.24604,15.68111,15.30552,168,1.590648
2555,54265,313.116630789483,55.9998451849521,1237672025699584122,19.25638,17.49426,16.52798,16.06967,15.75593,20,1.590719
2555,54265,312.431844372109,56.6434299437674,1237672026236127067,19.63181,17.67382,16.62379,16.11534,15.78067,179,1.588917
2555,54265,313.539495537019,56.0871884238252,1237672026236520039,19.1777,17.38946,16.40302,15.94501,15.62347,65,1.591249
2555,54265,312.823189134773,56.991356877405,1237672026772997730,19.4966,17.6401,16.61984,16.12715,15.79386,520,1.590596
2565,54329,313.917781270987,56.593351429895,1237672026773325284,20.36544,18.28191,17.24594,16.74991,16.38609,78,1.589878
2565,54329,314.248198399408,56.5516907212746,1237672026773391238,20.79432,18.55884,17.47467,16.92576,16.57397,76,1.589557
2555,54265,314.282099807427,56.5220208494263,1237672026773391643,19.09674,17.24931,16.24867,15.75803,15.44543,39,1.588692
